n,m,bf,fw,dp,df
20,19,4.81564,3363.28,243.891,3.1596
20,19,4.43782,3309.28,250.768,3.85288
20,19,4.65931,3303.79,235.81,3.18315
20,19,4.31036,3254.37,238.632,3.01465
20,19,4.3353,3242.27,235.004,3.18304
20,19,4.50272,3268.05,240.975,4.23288
20,19,5.99899,3329.33,234.715,3.27291
20,19,4.37952,3325.26,231.466,3.41936
20,19,8.96572,3321.94,197.884,4.61446
20,19,5.5389,3249.96,202.018,4.75906
20,19,5.65718,3272.17,192.679,8.15907
20,19,5.5191,3233,195.353,4.55072
20,19,5.4654,3157.6,205.347,4.93185
20,19,5.70901,3237.52,200.345,4.81231
20,19,7.19346,3260.49,200.481,4.62068
20,19,5.6026,3227.89,209.092,4.83918
20,19,5.76633,3292.21,200.797,8.72375
20,19,5.78965,3212.71,199.642,4.90995
20,19,3.02013,3164.11,115.45,2.44457
20,19,3.00552,3143.36,117.308,2.54973
20,19,3.01351,3227.9,113.666,2.46674
20,19,2.94864,3272.17,113.585,2.45174
20,19,2.89163,3264.03,120.908,2.43831
20,19,2.88669,3243.25,116.499,2.60687
20,19,2.94096,3232.09,118.625,2.4604
20,19,2.92129,3343.74,118.709,2.61262
20,19,2.97356,3491.33,114.537,2.42657
20,19,2.94543,3319.85,115.319,2.48407
20,19,5.08963,3277.83,260.024,4.25549
20,19,5.30529,3354.11,249.416,3.84094
20,19,5.02529,3309.63,255.093,8.84022
20,19,5.03011,3292.22,261.323,3.85127
20,19,5.03123,3206.47,258.575,4.27644
20,19,8.77219,3259,255.889,3.82112
20,19,4.98128,3226.02,257.235,4.11105
20,19,5.61415,3275.59,258.002,3.79577
20,19,4.9925,3207.04,259.922,4.01989
20,19,5.14583,3234,256.762,3.85362
20,19,2.8122,3245.6,114.22,2.79133
20,19,2.88062,3320.14,116.919,2.84112
20,19,2.9047,3327.8,115.716,2.82593
20,19,2.95869,3369.84,114.364,2.8273
20,19,2.93641,3179.59,115.847,2.86343
20,19,3.06386,3206.52,112.941,2.81724
20,19,2.96147,3282.53,115.455,2.93103
20,19,2.89997,3247.01,115.315,2.88711
20,19,2.95157,3281.52,118.135,3.19722
20,19,3.06346,3195.22,114.098,2.87921
20,19,4.6921,3245.53,152.063,2.87684
20,19,4.57639,3237.45,161.475,2.94878
20,19,4.67577,3252.79,156.831,2.8635
20,19,4.58725,3333.95,156.44,2.82245
20,19,4.5953,3242.4,158.023,4.52675
20,19,4.65135,3287.78,154.651,2.88524
20,19,4.65743,3178.36,154.355,2.94488
20,19,4.63565,3318.02,152.856,2.85697
20,19,4.55944,3415.19,151.334,2.87911
20,19,4.58788,3292.85,155.884,4.34017
20,19,5.70572,3318.69,279.589,3.79508
20,19,5.36604,3371.61,291.3,3.68707
20,19,5.28661,3474.47,282.872,3.71026
20,19,5.22476,3366.13,290.77,3.8301
20,19,5.34678,3371.33,291.329,3.81446
20,19,5.43772,3381.78,282.786,3.64273
20,19,5.20288,3377.8,284.756,4.55313
20,19,5.23221,3387.12,289.176,3.78828
20,19,5.30683,3439.26,282.443,3.80999
